0,19
1,19
2,2
3,2
4,19
5,19
6,2
7,2
8,3
9,3
10,23
11,6
12,3
13,3
14,23
15,6
16,1
17,1
18,21
19,21
20,1
21,1
22,7
23,7
24,17
25,17
26,39
27,34
28,17
29,17
30,30
31,14
32,19
33,19
34,2
35,2
36,19
37,19
38,2
39,2
40,3
41,3
42,23
43,6
44,3
45,3
46,23
47,6
48,1
49,1
50,21
51,21
52,1
53,1
54,7
55,7
56,17
57,17
58,39
59,34
60,17
61,17
62,30
63,14
64,0
65,0
66,16
67,16
68,0
69,0
70,16
71,16
72,22
73,22
74,36
75,29
76,22
77,22
78,36
79,29
80,20
81,20
82,38
83,38
84,20
85,20
86,35
87,35
88,37
89,37
90,46
91,44
92,37
93,37
94,41
95,27
96,0
97,0
98,16
99,16
100,0
101,0
102,16
103,16
104,5
105,5
106,33
107,15
108,5
109,5
110,33
111,15
112,20
113,20
114,38
115,38
116,20
117,20
118,13
119,35
120,28
121,28
122,43
123,26
124,28
125,28
126,45
127,11
128,19
129,19
130,2
131,2
132,19
133,19
134,2
135,2
136,3
137,3
138,23
139,6
141,3
142,23
143,6
144,1
145,1
146,21
147,21
148,1
149,1
150,7
151,7
152,17
153,17
154,39
155,34
156,17
157,17
158,30
159,14
160,19
161,19
162,2
163,2
164,19
165,19
166,2
167,2
168,3
169,3
170,6
171,6
172,3
173,3
174,23
175,6
176,17
177,1
178,21
179,21
180,1
181,1
182,7
183,7
184,17
185,17
186,39
187,34
188,17
189,17
190,30
191,14
192,0
193,0
194,16
195,16
196,0
197,0
198,16
199,16
200,22
201,22
202,23
203,29
204,3
205,3
206,36
207,29
208,4
209,4
210,31
211,31
212,4
213,4
214,13
215,13
216,32
217,32
218,40
219,44
220,32
221,32
222,24
223,9
224,0
225,0
226,16
227,16
228,0
229,0
230,16
231,16
232,5
233,5
234,33
235,15
236,5
237,5
238,33
239,15
240,4
241,4
242,31
243,31
244,4
245,4
246,13
247,13
248,12
249,12
250,25
251,10
252,12
253,12
254,8
255,18
